area,tag_number,description,equipment_type_id,manufacturer,model,serial_number,installation_date,operational_unit,photo,status,criticality
1,T-TGL-200A,TANK STORAGE T.1 200A,1,PT. BARATA INDONESIA,Horisontal Tank,,,,,active,medium
1,PSV-TGL-201A,PSV INLET T.1 200A,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-201A,MOV INLET T.1 200A,1,ROTORK,IQ3,,,,,active,medium
1,"6""-CKV-026",CHECK VALVE INLET T.1 200A,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-201A,FLEXIBLE INLET T.1 200A,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"6""-GV-033",GATE VALVE INLET T.1 200A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,PSV-TGL-202A,PSV OUTLET T.1 200A,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-202A,MOV OUTLET T.1 200A,1,ROTORK,IQ3,,,,,active,medium
1,"10""-CKV-027",CHECK VALVE OUTLET T.1 200A,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-202A,FLEXIBLE OUTLET T.1 200A,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"10""-GV-034",GATE VALVE OUTLET T.1 200A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,ATG-TGL-200A,ATG T.1 200A,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,FV-TGL-200A,FREE VENT T.1 200A,1,KSPC,Section 3.6 KFD,,,,,active,medium
1,"8""-FA-005",FLAME ARRESTER FV T.1 200A,1,KSPC Tank Tech,KFD,,,,,active,medium
1,LSHH-TGL-200A,LEVEL SWITCH HIGH HIGH T.1 200A,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-200A,LEVEL SWITCH LOW LOW T.1 200A,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-037",VALVE DRAIN CD T.1 200A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-067",VALVE DRAIN WD T.1 200A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-200A,SLOT DIPPING DEVICE T.1 200A,1,KSPC-TANK TECH,"KSSD-A-4""",,,,,active,medium
1,FC-TGL-200A,FOAM CHAMBER T.1 200A,1,NATIONAL FOAM,MCS-17 Type B,,,,,active,medium
1,SS-TGL-200A,SPRAY SYSTEM T.1 200A,1,TYCO,TYCO D3 ,,,,,active,medium
1,ERV-TGL-200A,EMERGENCY RELIEF VALVE T.1 200A,1,KSPC-TANKTECH,"KSEPK-24""",,,,,active,medium
1,"6""-GV-040",GATE VALVE,1,0,0,,,,,active,medium
1,TIT-TGL-200A,TEMPERATUR INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,LIT-TGL-200A,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,T-TGL-200B,TANK STORAGE T.2 200B,1,PT. BARATA INDONESIA,Horisontal Tank,,,,,active,medium
1,PSV-TGL-201B,PSV INLET T.2 200B,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-201B,MOV INLET T.2 200B,1,ROTORK,IQ3,,,,,active,medium
1,"6""-CKV-028",CHECK VALVE INLET T.2 200B,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-201B,FLEXIBLE INLET T.2 200B,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"6""-GV-035",GATE VALVE INLET T.2 200B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,PSV-TGL-202B,PSV OUTLET T.2 200B,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-202B,MOV OUTLET T.2 200B,1,ROTORK,IQ3,,,,,active,medium
1,"10""-CKV-029",CHECK VALVE OUTLET T.2 200B,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-202B,FLEXIBLE OUTLET T.2 200B,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"10""-GV-036",GATE VALVE OUTLET T.2 200B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,ATG-TGL-200B,ATG T.2 200B,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,FV-TGL-200B,FREE VENT T.2 200B,1,KSPC,Section 3.6 KFD,,,,,active,medium
1,"8""-FA-006",FLAME ARRESTER FV T.2 200B,1,KSPC Tank Tech,KFD,,,,,active,medium
1,LSHH-TGL-200B,LEVEL SWITCH HIGH HIGH T.2 200B,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-200B,LEVEL SWITCH LOW LOW T.2 200B,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-038",VALVE DRAIN CD T.2 200B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-068",VALVE DRAIN WD T.2 200B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-200B,SLOT DIPPING DEVICE T.2 200B,1,KSPC-TANK TECH,"KSSD-A-4""",,,,,active,medium
1,FC-TGL-200B,FOAM CHAMBER T.2 200B,1,NATIONAL FOAM,MCS-17 Type B,,,,,active,medium
1,SS-TGL-200B,SPRAY SYSTEM T.2 200B,1,TYCO,TYCO D3,,,,,active,medium
1,ERV-TGL-200B,EMERGENCY RELIEF VALVE T.2 200B,1,KSPC-TANKTECH,"KSEPK-24""",,,,,active,medium
1,TIT-TGL-200B,TEMPERATUR INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,LIT-TGL-200B,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,T-TGL-100A,TANK STORAGE T.3 100A,1,PT. BARATA INDONESIA,Horisontal Tank,,,,,active,medium
1,PSV-TGL-101A,PSV INLET T.3 100A,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-101A,MOV INLET T.3 100A,1,ROTORK,IQ3,,,,,active,medium
1,"6""-CKV-006",CHECK VALVE INLET T.3 100A,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-101A,FLEXIBLE INLET T.3 100A,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"6""-GV-004",GATE VALVE INLET T.3 100A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,PSV-TGL-102A,PSV OUTLET T.3 100A,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-102A,MOV OUTLET T.3 100A,1,ROTORK,IQ3,,,,,active,medium
1,"16""-CKV-007",CHECK VALVE OUTLET T.3 100A,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-102A,FLEXIBLE OUTLET T.3 100A,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"16""-GV-005",GATE VALVE OUTLET T.3 100A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,ATG-TGL-100A,ATG T.3 100A,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,PVRV-TGL-100A,PRESSURE VACUM RELIEF VALVE T.3 100A,1,KSPC Tank Tech,VACCUM - KSBBFI-A,,,,,active,medium
1,"8""-FA-001",FLAME ARRESTER PVRV T.3 100A,1,KSPC Tank Tech,VACCUM - KSBBFI-A,,,,,active,medium
1,LSHH-TGL-100A,LEVEL SWITCH HIGH HIGH T.3 100A,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-100A,LEVEL SWITCH LOW LOW T.3 100A,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-008",VALVE DRAIN CD T.3 100A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-042",VALVE DRAIN WD T.3 100A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-100A,SLOT DIPPING DEVICE T.3 100A,1,KSPC-TANK TECH,"KSSD-A-4""",,,,,active,medium
1,FC-TGL-100A,FOAM CHAMBER T.3 100A,1,NATIONAL FOAM,MCS-17 Type B,,,,,active,medium
1,SS-TGL-100A,SPRAY SYSTEM T.3 100A,1,TYCO,TYCO D3,,,,,active,medium
1,ERV-TGL-100A,EMERGENCY RELIEF VALVE T.3 100A,1,KSPC-TANKTECH,"KSEPK-24""",,,,,active,medium
1,TIT-TGL-100A,TEMPERATUR INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,LIT-TGL-100A,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,T-TGL-100B,TANK STORAGE T.4 100B,1,PT. BARATA INDONESIA,Horisontal Tank,,,,,active,medium
1,PSV-TGL-101B,PSV INLET T.4 100B,1,BROADY VALVE,Balanced ,,,,,active,medium
